,tokens,ner_tags
1900,"['2022-09-09', '12:35:53']","['O', 'O']"
1901,"['Слесарь-механик', 'авиационных', 'приборов']","['O', 'O', 'O']"
1902,"['Радиоэлектронные', 'системы', 'и', 'комплексы']","['O', 'O', 'O', 'O']"
1903,['LRUBASHKINA@YANDEX.RU'],['O']
1904,['Еврохим'],['O']
1905,['https://www.google.com/'],['O']
1906,[''],['O']
1907,['karnaval.delta.sbrf.ru:/TFS_new'],['O']
1908,['https://oao.org/main.html'],['O']
1909,['Северодвинск'],['U-CITY']
1910,"['Проектирование', 'зданий']","['O', 'O']"
1911,"['Gateway', 'Timeout']","['O', 'O']"
1912,"['Программная', 'инженерия']","['O', 'O']"
1913,"['Sber', 'Devices', 'Assistant']","['O', 'O', 'O']"
1914,['3-POD9'],['O']
1915,"['Банк', 'России', 'ввёл', 'временную', 'администрация', 'во', 'входящий', 'в', 'первую', 'сотню', 'по', 'активам', 'коммерческий', 'банк', 'содействия', 'благотворительности', 'и', 'духовному', 'развитию', 'Отечества', 'Пересвет', 'крупнейшим', 'акционером', 'которого', 'является', 'Русская', 'православная', 'церковь', 'православная', 'церковь', 'Судя', 'по', 'рейтингам', 'и', 'поступающей', 'от', 'финансистов', 'информации', 'у', 'банка', 'крайне', 'плачевное', 'состояние', 'При', 'этом', 'Пересвет', 'винит', 'в', 'своих', 'бедах', 'средства', 'массовой', 'информации', 'В', 'сообщении', 'ЦБ', 'РФ', 'ЦБ', 'РФ', 'говорится', 'Приказом', 'Банка', 'России', 'от', '21', '10', '2016', 'ОД', '3628', 'Банка', 'России', 'от', '21', '10', '2016', 'ОД', '3628', 'в', 'связи', 'с', 'неудовлетворением', 'требований', 'кредиторов', 'по', 'денежным', 'обязательствам', 'в', 'сроки', 'превышающие', 'семь', 'дней', 'с', 'момента', 'наступления', 'даты', 'их', 'удовлетворения', 'с', '21', '10', '2016', 'года', 'назначена', 'временная', 'администрация', 'по', 'управлению', 'Акционерным', 'коммерческим', 'банком', 'содействия', 'благотворительности', 'и', 'духовному', 'развитию', 'Отечества', 'ПЕРЕСВЕТ', 'Акционерное', 'общество', 'ПЕРЕСВЕТ', 'Акционерное', 'общество', 'сроком', 'на', 'шесть', 'месяцев', 'На', 'период', 'деятельности', 'временной', 'администрации', 'полномочия', 'исполнительных', 'органов', 'АКБ', 'ПЕРЕСВЕТ', 'АО', 'ПЕРЕСВЕТ', 'АО', 'приостановлены', 'Одной', 'из', 'первоочередных', 'задач', 'временной', 'администрации', 'является', 'проведение', 'обследования', 'финансового', 'положения', 'кредитной', 'организации', 'Одновременно', 'Приказом', 'Банка', 'России', 'от', '21', '10', '2016', 'года', 'ОД', '3629', 'Банка', 'России', 'от', '21', '10', '2016', 'года', 'ОД', '3629', 'в', 'соответствии', 'со', 'статьей', '189', '38', 'Федерального', 'закона', 'О', 'несостоятельности', 'банкротстве', '189', '38', 'Федерального', 'закона', 'О', 'несостоятельности', 'банкротстве', 'введен', 'мораторий', 'на', 'удовлетворение', 'требований', 'кредиторов', 'АКБ', 'ПЕРЕСВЕТ', 'АО', 'ПЕРЕСВЕТ', 'АО', 'В', 'соответствии', 'с', 'Федеральным', 'законом', 'О', 'страховании', 'вкладов', 'физических', 'лиц', 'в', 'банках', 'Российской', 'Федерации', 'Российской', 'Федерации', 'введение', 'моратория', 'на', 'удовлетворение', 'требований', 'кредиторов', 'банка', 'является', 'страховым', 'случаем', 'Выплаты', 'вкладчикам', 'АКБ', 'ПЕРЕСВЕТ', 'АО', 'ПЕРЕСВЕТ', 'АО', 'в', 'том', 'числе', 'индивидуальным', 'предпринимателям', 'начнутся', 'не', 'позднее', '14', 'дней', 'со', 'дня', 'введения', 'моратория', 'Порядок', 'выплаты', 'страхового', 'возмещения', 'будет', 'определен', 'государственной', 'корпорацией', 'Агентство', 'по', 'страхованию', 'вкладов', 'Банк', 'России', 'проводит', 'консультации', 'с', 'акционерами', 'и', 'крупнейшими', 'кредиторами', 'АКБ', 'ПЕРЕСВЕТ', 'в', 'целях', 'определения', 'дальнейших', 'перспектив', 'деятельности', 'кредитной', 'организации', 'За', 'несколько', 'часов', 'до', 'этого', 'международное', 'рейтинговое', 'агентство', 'Standard', 'Poors', 'Global', 'Ratings', 'понизило', 'долгосрочный', 'кредитный', 'рейтинг', 'банка', 'Пересвет', 'до', 'уровня', 'CCC', 'с', 'B', 'краткосрочный', 'до', 'уровня', 'С', 'с', 'В', 'Рейтинг', 'Пересвета', 'по', 'национальной', 'шкале', 'был', 'понижен', 'до', 'ruCCC', 'с', 'ruA', 'Все', 'показатели', 'помещены', 'в', 'список', 'на', 'пересмотр', 'с', 'возможностью', 'понижения', 'Как', 'сообщает', 'агентство', 'рейтинги', 'изменены', 'введения', 'банком', 'ограничений', 'на', 'снятие', 'наличных', '20', 'октября', '2016', 'года', 'рейтинговое', 'агентство', 'Fitch', 'сообщило', 'что', 'может', 'понизить', 'рейтинг', 'Пересвета', 'до', 'дефолтного', 'если', 'кредитная', 'организация', 'ужесточит', 'или', 'продлит', 'ограничения', 'на', 'выдачу', 'вкладов', 'В', 'тот', 'же', 'день', 'российские', 'рейтинговые', 'агентства', 'RAEX', 'Эксперт', 'РА', 'и', 'RusRating', 'также', 'допустили', 'изменение', 'рейтинга', 'финансовой', 'организации', 'Вчера', 'Пересвет', 'не', 'сумел', 'привлечь', 'два', 'миллиарда', 'рублей', 'путём', 'размещения', 'облигаций', 'Как', 'отмечается', 'в', 'материалах', 'банка', 'Количество', 'фактически', 'размещенных', 'ценных', 'бумаг', '0', 'ноль', 'штук', 'В', 'тот', 'же', 'день', 'Пересвет', 'выплатил', 'кредиторам', 'купонные', 'доходы', 'по', 'облигациям', 'выпущенным', '19', 'августа', '2014', 'года']","['O', 'U-COUNTRY', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-COUNTRY', 'O', 'U-COUNTRY', 'O', 'O', 'O', 'U-COUNTRY', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-COUNTRY', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-COUNTRY', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-COUNTRY', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-COUNTRY', 'L-COUNTRY', 'B-COUNTRY', 'L-COUNTRY', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-COUNTRY', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1916,"['Изменение', 'ставки', 'фондирования']","['O', 'O', 'O']"
1917,"['Инженерная', 'защита', 'окружающей', 'среды']","['O', 'O', 'O', 'O']"
1918,"['08.11.23', 'вам', 'выдана', 'электронная', 'подпись', 'на', 'реквизиты\n', 'Иванов', 'Денис', 'Викторович', 'ИНН', '789012345678']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-LAST_NAME', 'U-FIRST_NAME', 'U-MIDDLE_NAME', 'O', 'O']"
1919,"['В', 'сентябре', 'того', 'же', 'года', 'возглавил', 'исполнительное', 'бюро', 'Российской', 'ассоциации', 'рекламодателей', '(', 'РАР', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1920,"['Голосовое', 'управление']","['O', 'O']"
1921,"['США', 'требовали', 'экстрадировать', 'Сноудена', ',', 'раскрывший', 'информацию', 'о', 'прослушивании', 'спецслужбами', 'США', 'телефонов', 'граждан', ',', 'но', 'правительство', 'Гонконга', 'заявило', ',', 'что', 'у', 'него', 'не', 'было', 'никаких', 'правовых', 'оснований', 'задерживать', 'американца', ',', 'поскольку', 'запрос', 'не', 'полностью', 'соответствовал', 'местному', 'законодательству', '.']","['U-COUNTRY', 'O', 'O', 'U-LAST_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'U-COUNTRY', 'O', 'O', 'O', 'O', 'O', 'U-DISTRICT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1922,"['РКП.', 'КО.', 'Платежи', 'юридических', 'лиц', '(РКП', 'Актив)']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
1923,"['Филиал', 'ПАО', 'РОСБАНК', 'Росбанк', 'Дом', 'оставляет', 'за', 'собой', 'право', 'на', 'изменение', 'любой', 'части', 'данного', 'сообщения', 'без', 'предварительного', 'уведомления.', 'Банк', 'вправе', 'отказать', 'в', 'одобрении', 'кредита.', 'Не', 'является', 'публичной', 'офертой.', 'Подробная', 'информация', 'на', 'сайте', 'rosbank-dom.ru', 'ПАО', 'РОСБАНК,', 'Генеральная', 'лицензия', 'ЦБ', 'РФ', '№2272', 'от', '28.01.2015', 'г.', 'Реклама.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1924,"['Автосервис', 'КАПИТАН-АВТО', 'на', 'метро', 'Коптево', 'Москва', ',', 'Кронштадтский', 'бульвар', ',', '35б', 'Округ', 'САО', ',', 'Район', 'Головинский', '(', 'доехать', ',', 'узнать', ')', '(', '???', ')']","['O', 'O', 'O', 'O', 'U-DISTRICT', 'U-CITY', 'O', 'U-STREET', 'O', 'O', 'U-HOUSE', 'O', 'O', 'O', 'O', 'U-DISTRICT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1925,"['Охрана', 'окружающей', 'среды', 'и', 'рациональное', 'использование', 'природных', 'ресурсов']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1926,"['С', 'ноября', '1998', 'года', 'по', 'ноябрь', '2008', 'года', 'занимал', 'различные', 'должности', 'в', 'Группе', 'компаний', '""', 'Sunrise', 'tour', '""', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1927,"['заббикс:', 'Zabbix']","['O', 'O']"
1928,"['Техническое', 'обслуживание', 'и', 'ремонт', 'радиоэлектронной', 'техники']","['O', 'O', 'O', 'O', 'O', 'O']"
1929,"['', '', '', '', 'нажать', 'клавишу', '«Вход»,', 'расположенную', 'в', 'разделе', '«Сбербанк', 'Онлайн»;']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1930,"['2023-01-15', '17:55:21']","['O', 'O']"
1931,"['Число', 'кандидатов', 'на', 'пост', 'мэра', 'Москвы', 'подавших', 'необходимые', 'документы', 'увеличилось', 'до', '13', 'сообщил', 'РИА', 'Новости', 'в', 'четверг', 'представитель', 'Мосгоризбиркома']","['O', 'O', 'O', 'O', 'O', 'U-CITY', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1932,"['ж/д', 'перевозки,', 'порты,', 'производство', 'тепловозов']","['O', 'O', 'O', 'O', 'O']"
1933,['WTRFL046*'],['O']
1934,"['root', '', '', '', '', '1703366', '', '', '', '', '', '', '2', '', '0', '12:42', '?', '', '', '', '', '', '', '', '00:00:00', '[kworker/15:2-events]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1935,['Рентгенология'],['O']
1936,"['Кокалевская', '(', 'darya', '-k21)']","['U-LAST_NAME', 'O', 'U-FIRST_NAME', 'O']"
1937,"['США', 'арестовали', 'китайца', 'за', 'промышленный', 'шпионаж', 'Нефтеперерабатывающий', 'завод', 'Humber', 'принадлежащий', 'компании', 'Phillips', '66', 'Министерство', 'юстиции', 'США', 'сообщило', 'что', '20', 'декабря', '2018', 'года', 'арестован', 'гражданин', 'Китая', 'которого', 'обвиняют', 'в', 'промышленном', 'шпионаже']","['U-COUNTRY', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-COUNTRY', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-COUNTRY', 'O', 'O', 'O', 'O', 'O']"
1938,"['Владимирский', 'покинул', 'пост', 'недоверия', 'начальства', 'Я', 'выразила', 'недоверие', 'Александру', 'Денисову', 'и', 'сказала', 'что', 'с', 'ним', 'работать', 'не', 'буду', 'сказала', 'губернатор', 'Светлана', 'Орлова']","['U-LAST_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-FIRST_NAME', 'U-LAST_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-FIRST_NAME', 'U-LAST_NAME']"
1939,"['3,510', '+', '5,472', 'м3/чел.']","['O', 'O', 'O', 'O']"
1940,['MKTFX'],['O']
1941,"['', '', '<insert', 'id=""insertAuction""', '>']","['O', 'O', 'O', 'O', 'O']"
1942,['11/22/1963'],['O']
1943,"['сбервизором:', 'СберВизор']","['O', 'O']"
1944,"['Пример', 'расчета', 'размера', 'платы', 'за', 'жилищно-коммунальные', 'услуги']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
1945,['test-ora-056.vm.int.sber.sbrf.ru'],['O']
1946,"['SELECT', ""('столбцы"", 'или', '*', 'для', 'выбора', 'всех', 'столбцов;', ""обязательно')""]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1947,"['Одинцовский', 'округ', '(Голицыно)']","['U-DISTRICT', 'O', 'U-CITY']"
1948,"['ORDER', 'BY', ""('столбец,"", 'по', 'которому', 'хотим', 'отсортировать', 'вывод;', ""необязательно')""]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1949,"['Младшая', 'медицинская', 'сестра', 'по', 'уходу', 'за', 'больными']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
1950,['InfoHeader'],['O']
1951,"['Japan', 'cars', 'сервис', '-', 'ТО', 'и', 'ремонт', 'автомобилей', '9851561640', 'Николай', '-', 'Старокоптевский', 'пер', '.', ',', '6', '(', 'м', '.', 'Войковская', ')']","['U-COUNTRY', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-FIRST_NAME', 'O', 'U-STREET', 'U-STREET', 'O', 'O', 'U-HOUSE', 'O', 'O', 'O', 'O', 'O']"
1952,"['альфе:', 'Alpha']","['O', 'O']"
1953,"['Ист', 'Лайн']","['O', 'O']"
1954,"['NEW', 'ecomm-RoadMap-2023.pdf']","['O', 'O']"
1955,"['MOY', 'ADRES', 'PROPISKI:', 'UKRAINA,', 'KIEVSKAYA', 'OBLAST', 'G.', 'KIEV', 'UL.', 'KRESHCHATIK', 'D.', '10', 'KV.', '36']","['O', 'O', 'O', 'U-COUNTRY', 'U-REGION', 'O', 'O', 'U-CITY', 'O', 'U-STREET', 'B-HOUSE', 'I-HOUSE', 'I-HOUSE', 'L-HOUSE']"
1956,"['""', 'Пами́ро-Ала́й', '""', '-', 'горная', 'система', 'на', 'юго-востоке', 'Центральной', 'Азии', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1957,"['2022-09-09', '12:41:29']","['O', 'O']"
1958,['Баллистика'],['O']
1959,['1.3278380408198506e+17'],['O']
1960,['http://npo.net/'],['O']
1961,"['', '', '\tinsert', 'into', 'product', 'values((select', 'nvl(max(pnum),0)+1', 'from', ""product),1,sysdate,#{as_info},TO_DATE(#{p_cdate},'yyyy-mm-dd"", ""hh24:mi'),#{pname},#{detail},#{stock},#{p_category},#{p_video},#{p_sangse},#{option1},#{select_op1},#{option2},#{select_op2},#{option3},#{select_op3},0,0,#{p_price},null,#{p_sprice},#{auction},#{beuid})""]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1962,['qDi1O3sO58bbf435aeb159f0209b975ba71535c1'],['O']
1963,['Гидроэлектроэнергетика'],['O']
1964,"['телеграм:', 'Telegram']","['O', 'O']"
1965,"['Отмена', 'движения', 'средств', 'с', 'мерчантом', '(отмена', 'оплаты', 'услуг)']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1966,['Профпатология'],['O']
1967,['Лаверна'],['O']
1968,"['budaev', 'nikkita', '@yandex.ru']","['U-LAST_NAME', 'U-FIRST_NAME', 'O']"
1969,"['Отец', '-', 'Карл', 'Менгер-старший', '-', 'экономист', '.']","['O', 'O', 'U-FIRST_NAME', 'U-LAST_NAME', 'O', 'O', 'O']"
1970,"['22', 'сентября', '2015']","['O', 'O', 'O']"
1971,"['Свидетельство', 'о', 'регистрации', 'права', 'собственности', 'на', 'жилой', 'объект', '(от', '30.06.2021,', '№', '789012)']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1972,['79171492970'],['O']
1973,"['сзуд:', 'СЗУД']","['O', 'O']"
1974,['Красный'],['O']
1975,"['сколько', '1', 'человек', 'потребляет', 'в', 'месяц', '(зависит', 'от', 'количества', 'комнат', 'в', 'квартире', 'и', 'количества', 'проживающих)']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1976,"['Вопросы', 'об', 'её', 'оздоровлении', 'и', 'получении', 'дополнительных', 'доходов', 'от', 'чеканки', 'монет', 'были', 'подняты', 'на', 'заседании', 'сейма', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1977,"['Бурильщик', 'эксплуатационных', 'и', 'разведочных', 'скважин']","['O', 'O', 'O', 'O', 'O']"
1978,"['АКТ', 'О', 'ВЗАИМООТНОШЕНИЯХ', 'С', 'ТАЙВАНЕМ', '(', 'ПРИНЯТ', 'В', '1979', 'ГОДУ', 'ВЗАМЕН', 'ДОГОВОРА', 'СОВМЕСТНОЙ', 'ОБОРОНЫ', 'МЕЖДУ', 'СОЕДИНЕННЫМИ', 'ШТАТАМИ', 'АМЕРИКИ', 'И', 'КИТАЙСКОЙ', 'РЕСПУБЛИКОЙ', 'ПОДПИСАННОГО', 'В', '1954', 'ГОДУ', ')', '[13]', ':', 'США', '(', 'ГАРАНТ', ')', ',', 'КИТАЙСКАЯ', 'РЕСПУБЛИКА', '(', 'ГОСУДАРСТВО', ',', 'КОТОРОМУ', 'ГАРАНТИРОВАНА', 'ЗАЩИТА', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-COUNTRY', 'I-COUNTRY', 'L-COUNTRY', 'O', 'B-COUNTRY', 'L-COUNTRY', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-COUNTRY', 'O', 'O', 'O', 'O', 'B-COUNTRY', 'L-COUNTRY', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1979,"['Летная', 'эксплуатация', 'и', 'применение', 'авиационных', 'комплексов']","['O', 'O', 'O', 'O', 'O', 'O']"
1980,"['Сборщик', 'изделий', 'электронной', 'техники']","['O', 'O', 'O', 'O']"
1981,['22.09.2010'],['O']
1982,"['Технология', 'переработки', 'древесины']","['O', 'O', 'O']"
1983,"['Электромонтер-линейщик', 'по', 'монтажу', 'воздушных', 'линий', 'высокого', 'напряжения', 'и', 'контактной', 'сети']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1984,"['select', ""'{,[a,c)}'::textmultirange;""]","['O', 'O']"
1985,"['№', '', '|', '', 'Услуга', '', '|', 'Стоимость', '|', 'Кол-во', '|', 'Сумма']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1986,"['1696593', 'root', '', '', '', '', '', '20', '', '', '0', '', '', '', '', '', '', '0', '', '', '', '', '', '0', '', '', '', '', '', '0', 'I', '', '', '0.3', '', '', '0.0', '', '', '0:00.46', 'kworker/4:']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1987,"['Электрические', 'станции,', 'сети', 'и', 'системы']","['O', 'O', 'O', 'O', 'O']"
1988,"['Анализы', 'биохимии.', 'Лаборатория', 'Синтез.', 'N', 'заказа', '845609073,', 'Иванова,', 'Анастасия', 'Петровна']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-LAST_NAME', 'U-FIRST_NAME', 'U-MIDDLE_NAME']"
1989,['CUST_CONTRACT_CHECK;T_USG=R;GENERAL_LOAN;STANDIN=5656854'],['O']
1990,['Стерлитамак'],['U-CITY']
1991,"['Кто', 'займет', 'место', 'Примакова', 'в', 'палате', ',', 'пока', 'неизвестно', ':', 'решение', 'об', 'этом', 'будет', 'принимать', 'съезд', 'Торгово', '-', 'промышленной', 'палаты', '4', 'марта', '.']","['O', 'O', 'O', 'U-LAST_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1992,"['Судоводитель', '-', 'помощник', 'механика', 'маломерного', 'судна']","['O', 'O', 'O', 'O', 'O', 'O']"
1993,"['По', 'итогам', 'первого', 'этапа', 'регистрации', 'кандидатов', 'из', '20', 'поданных', 'номинаций', 'допущены', 'к', 'проверке', 'Министерством', 'лишь', '11', 'из', 'них', 'Второй', 'этап', 'регистрации', 'кандидатов', 'проверка', 'подписных', 'листов', 'отсеял', 'ещё', 'троих', 'претендентов', 'на', 'президентский', 'пост', '13', 'декабря', 'высший', 'административный', 'суд', 'Чехии', 'вынес', 'решение', 'обязать', 'МВД', 'зарегистрировать', 'кандидатом', 'Яну', 'Бобошикову', 'которой', 'ранее', 'было', 'отказано', 'в', 'регистрации', 'В', 'результате', 'в', 'первом', 'туре', 'участвовали', '9', 'кандидатов', 'Милош', 'Земан', 'Ян', 'Фишер', 'Владимир', 'Франц', 'Карел', 'Шварценберг', 'Йиржи', 'Динстбир', 'Пшемысл', 'Соботка', 'Яна', 'Бобошикова', 'Таня', 'Фишерова', 'и', 'Зузана', 'Ройтова']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-COUNTRY', 'O', 'O', 'O', 'O', 'O', 'O', 'U-FIRST_NAME', 'U-LAST_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-FIRST_NAME', 'U-LAST_NAME', 'U-FIRST_NAME', 'U-LAST_NAME', 'U-FIRST_NAME', 'U-LAST_NAME', 'U-FIRST_NAME', 'U-LAST_NAME', 'U-FIRST_NAME', 'U-LAST_NAME', 'U-FIRST_NAME', 'U-LAST_NAME', 'U-FIRST_NAME', 'U-LAST_NAME', 'U-FIRST_NAME', 'U-LAST_NAME', 'O', 'U-FIRST_NAME', 'U-LAST_NAME']"
1994,"['Сахалин', '(', 'Южно-Сахалинск', ')', '.']","['O', 'O', 'U-CITY', 'O', 'O']"
1995,"['жиру:', 'Jira']","['O', 'O']"
1996,['1.3026458e+8'],['O']
1997,"['Контролер', 'стекольного', 'производства']","['O', 'O', 'O']"
1998,['Виктория'],['U-FIRST_NAME']
1999,"['Кредит', 'на', 'квартиру', 'или', 'долю', 'на', 'первичном', 'или', 'вторичном', 'рынке', 'недвижимости.', 'Программа', 'рассчитана', 'на', 'срок', 'до', '25', 'лет', 'с', 'первоначальным', 'взносом', 'от', '15%', 'и', 'процентной', 'ставкой', 'от', '6,80%', 'годовых', 'и', 'доступна', 'для', 'клиентов', 'от', '21', 'до', '65', 'лет', 'с', 'любым', 'гражданством.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2000,"['systemd[1]:', 'Created', 'slice', 'User', 'Slice', 'of', 'UID', '0.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2001,"['Доверенность', '', '№12', '', 'Федоров', 'ЕН', '_', 'ООО', '.docx']","['O', 'O', 'O', 'O', 'U-LAST_NAME', 'O', 'O', 'O', 'O']"
